mode,beta,alpha,seed,trace_sigma_T,trace_sigma_0,kl_T,gini_T,entropy_T,drop_pct
closed_loop,0.02,0.3,1,7.62503824612901,26.647728141185755,14.21298659696251,0.5954566314823327,5.076267278530983,71.38578491295839
closed_loop,0.02,0.3,2,6.045964461444311,26.383863925116124,13.113335430945288,0.6194146712276717,5.030579835435273,77.08461323707459
closed_loop,0.02,0.7,0,4.284328712929,24.353881937312657,16.250875840498274,0.6013081873970978,5.063384002561849,82.40802544761881
closed_loop,0.02,0.7,1,3.917994757961767,22.36029209273078,15.707404416899593,0.5438134318150749,5.179238288700557,82.47789097873418
closed_loop,0.02,0.7,2,2.319102667102732,23.265238142148377,16.110781009611156,0.5512173202614399,5.130793027659409,90.03189800623042
closed_loop,0.02,0.9,0,3.9206320537734247,23.368062841812726,16.28354824013853,0.5482566666666682,5.150041852959038,83.22226330734529
closed_loop,0.02,0.9,1,6.912791781891124,20.44977452399803,16.208568939766046,0.5140213634935615,5.240306432354668,66.19624449267698
closed_loop,0.02,0.9,2,5.861704448722237,22.06861879421771,16.110477165149298,0.5315627996164923,5.191966805116689,73.43873441568492
closed_loop,0.05,0.0,0,12.933071415396102,27.008690913159285,8.758823718233366,0.6681400000000008,4.896599533404311,52.1151489460202
closed_loop,0.05,0.0,1,0.7311838400356031,30.3312162257417,15.457164125329024,0.7805022222222229,4.447954600080863,97.58933557232349
closed_loop,0.05,0.0,2,0.47620871414952864,27.701458914214456,15.020654902649428,0.8596111111111117,4.049848523463091,98.28092550784329
closed_loop,0.05,0.3,0,15.83426686909775,22.892667890517536,9.150891759588125,0.5640551761082113,5.140806934530641,30.832583843770678
closed_loop,0.05,0.3,1,10.672227875400969,21.466635788593365,10.006950206797246,0.6141138835572629,5.025010163797317,50.284581242712356
closed_loop,0.05,0.3,2,12.669537270640348,22.875962120505406,8.806046768134113,0.6333807829181508,4.998665990457794,44.61637414898624
closed_loop,0.05,0.7,0,10.006400718720625,18.5988362066081,10.510231250626019,0.5409145187126858,5.169368090414913,46.198780356131174
closed_loop,0.05,0.7,1,6.380492098877082,14.67354070777688,10.904431236011154,0.5673649484536096,5.115502281918211,56.51702458224372
closed_loop,0.05,0.7,2,3.133508725477208,17.75970540969969,11.134919911023355,0.5873049074818996,5.058741881285086,82.35607712408449
closed_loop,0.05,0.9,0,14.82465664552925,16.694800898748007,10.056963016658903,0.5396714513556635,5.157877752277857,11.201956013497616
closed_loop,0.05,0.9,1,10.354570847183307,12.40926337041184,11.47340969395895,0.5187601335240841,5.23953233606497,16.557731606596892
closed_loop,0.05,0.9,2,12.050832755967244,16.073693570548,11.290830524266834,0.5401238793806047,5.1514677363963095,25.027606734720177
static,0.0,0.0,0,29.768524768933652,29.811911999542403,0.380328263183521,0.6423800000000008,4.956951140490794,0.14553655803565269
static,0.0,0.0,1,29.225166346736895,31.207197814918434,1.390972866141786,0.612071229827492,4.991009254754437,6.351199745444747
static,0.0,0.0,2,29.092669474575356,29.625598957513727,0.4878115286275335,0.7377266666666675,4.624233590312118,1.7988817161220916
static,0.0,0.3,0,30.974723939007653,30.037178094609775,0.1226115224209221,0.5236062176165814,5.236913712215259,-3.121284700729343
static,0.0,0.3,1,25.2548594470735,31.173002733183566,1.0821716195894702,0.2640249759846336,5.595290866374407,18.984835489749663
static,0.0,0.3,2,24.175617818500935,29.667318489508027,0.7961051880040138,0.34993697719720607,5.510005696127436,18.510943862180383
static,0.0,0.7,0,29.564729657252744,30.03196377831053,0.29124958984689975,0.43263354700855006,5.390079146171674,1.5557894399007899
