seen_filter,seed,cluster,tr_closed,tr_static,tr_gap,loewner_psd,min_eig_diff,disp_closed,disp_static,disp_gap
False,1,2,3.8807273307675367,3.915468542935807,-0.03474121216827042,0.0,-0.16063512131280458,0.7481620115517895,0.9556847540288693,-0.2075227424770798
False,2,0,4.057793517887347,4.066047191038054,-0.008253673150706575,0.0,-0.21804217432668443,0.7285073821452102,0.45283008083168674,0.2756773013135234
False,2,1,4.5836197790604665,5.039292279801096,-0.45567250074062926,0.0,-0.11257908894738955,2.127102956927794,2.0286110247824496,0.09849193214534457
False,2,2,4.455119112510191,4.452238038340376,0.002881074169815534,0.0,-0.018770119900303278,1.6115398497973996,1.7522151051668153,-0.14067525536941572
False,3,0,3.205370278891263,3.205370278891263,0.0,1.0,-3.7490873974686173e-16,2.615717988010866,2.6157179880108865,-2.042810365310288e-14
False,3,1,3.4630118530188456,3.464334623013123,-0.001322769994277273,1.0,2.698656756010358e-07,3.0100724317653587,3.009782394759865,0.0002900370054934598
False,3,2,3.1261248498442886,2.989137646724449,0.13698720311983958,0.0,-0.31009551123771234,1.4535193049539838,1.847032321369248,-0.39351301641526426
False,4,0,3.7942215601127627,3.801484011949101,-0.007262451836338446,0.0,-0.0515599804977452,0.9739725012689258,1.09197006327107,-0.11799756200214429
False,4,1,4.672562796928669,4.480466425302184,0.19209637162648452,0.0,-0.7182513970252167,2.737172480386903,1.4989539680088297,1.2382185123780731
False,4,2,3.009708815116738,3.062167386216859,-0.05245857110012109,0.0,-0.07271733798557455,1.3641710462867005,1.61319785187173,-0.24902680558502954
False,5,0,3.9199639348193385,3.7562876535750807,0.16367628124425782,0.0,-0.4712894614939386,1.4496318063173197,0.9747569904356874,0.4748748158816323
False,5,1,3.8039509244506986,3.795430420864308,0.00852050358639067,0.0,-0.12369657313847861,1.338248257548421,1.3385203911974735,-0.00027213364905254167
False,5,2,3.168441331050401,3.1585591997623785,0.0098821312880224,0.0,-0.09342987664373471,1.8255693727869504,2.327352011610447,-0.5017826388234967
False,6,0,4.2567478877057505,4.122192870436314,0.1345550172694363,0.0,-0.23406124170643544,0.7544566195362008,1.1735946015118035,-0.4191379819756027
False,6,1,3.704611718552993,3.868638668084097,-0.1640269495311042,0.0,-0.1063261215968126,0.82617408740989,0.9749587238379052,-0.1487846364280152
False,6,2,4.300633753457898,3.973663337957384,0.3269704155005142,0.0,-0.43412456123433163,1.2676744220891876,1.1614001854598248,0.10627423662936275
False,7,0,3.031271642584874,2.835305733543532,0.19596590904134192,0.0,-0.8698308082669194,1.9737224436671665,2.0741386611986394,-0.1004162175314729
False,7,1,3.2328606785954808,3.3687052988135777,-0.13584462021809696,0.0,-0.21102789679318942,0.8422310119297132,1.168585425574359,-0.3263544136446459
False,7,2,3.9343404817994485,3.9574021837516624,-0.02306170195221391,0.0,-0.06359353385718866,3.031602290673556,3.027040454988432,0.004561835685123583
False,8,0,4.208301975141264,3.1544646891566246,1.0538372859846397,0.0,-1.4282806829822219,1.9474694068183407,1.9768511024992428,-0.029381695680902098
False,8,1,2.7073425470236896,2.707416641622311,-7.409459862151024e-05,1.0,2.0239624362154295e-07,1.3116829553278535,1.3116611956466135,2.1759681239963413e-05
False,8,2,4.106327526348995,4.186621832370933,-0.08029430602193788,0.0,-0.05632303065828586,1.1100974406949842,1.4086583564460362,-0.29856091575105204
False,9,0,3.688326054327045,3.4577342831172544,0.23059177120979069,0.0,-0.48497391187315,2.7746733875286695,2.370878010619104,0.40379537690956546
False,9,1,4.255181244996893,4.259748423133141,-0.00456717813624774,0.0,-0.09041954518701441,0.6264724391712351,0.6006953074442936,0.025777131726941516
