mode,seed,t,KL_obs_true,TV,R_obs,R_true,gap,abs_gap,pinsker_bound,bound_holds
closed_loop,5,67,0.06481853264467922,0.06183347603393964,0.8888916491511284,0.9505012002168367,-0.06160955106570831,0.06160955106570831,0.36005147588832137,1
closed_loop,5,68,0.0666983517198517,0.06102602007413815,0.8933403601871077,0.9541806790873067,-0.06084031890019903,0.06084031890019903,0.3652351344540985,1
closed_loop,5,69,0.06483748966549638,0.05900745738065451,0.8997222807716734,0.9585720713079832,-0.05884979053630979,0.05884979053630979,0.360104122901964,1
closed_loop,5,70,0.004566613161261223,0.011567133860605771,0.9690182840279251,0.961515634745121,0.007502649282804086,0.007502649282804086,0.09556791471264006,1
closed_loop,5,71,0.004518285334274353,0.011553044972527684,0.9693380944590831,0.9618045524936599,0.007533541965423218,0.007533541965423218,0.09506087874908746,1
closed_loop,5,72,0.004623571731614458,0.01206260356782792,0.9681951862636705,0.9604527836574994,0.007742402606171095,0.007742402606171095,0.09616206873413714,1
closed_loop,5,73,0.0047717852610200135,0.012508067805500787,0.9661754405468486,0.9582940643853713,0.007881376161477216,0.007881376161477216,0.09769119981881698,1
closed_loop,5,74,0.004388141776736715,0.012271000974012373,0.9657334877858929,0.9583114332404483,0.007422054545444534,0.007422054545444534,0.09368182082706031,1
closed_loop,5,75,0.005187436152491591,0.014540385329825739,0.9599546477537683,0.950451914274513,0.009502733479255232,0.009502733479255232,0.1018571171052037,1
closed_loop,5,76,0.005387056014809127,0.015519719260255886,0.956852404026176,0.9465851468389549,0.010267257187221102,0.010267257187221102,0.10379842016918299,1
closed_loop,5,77,0.006078274926440669,0.017561236912642234,0.9510659840436301,0.9390515294000514,0.012014454643578643,0.012014454643578643,0.1102567451582049,1
closed_loop,5,78,0.006705491435445241,0.01942760552747855,0.9458523828251676,0.9322766632200418,0.013575719605125824,0.013575719605125824,0.1158057980883966,1
closed_loop,5,79,0.007716839150140909,0.02210643711761884,0.9387206182062289,0.9225398945041186,0.016180723702110322,0.016180723702110322,0.12423235609245209,1
closed_loop,5,80,0.03636670979227136,0.05179422738375081,0.9717863660679738,0.919992552316667,0.05179381375130676,0.05179381375130676,0.26969134132289585,1
closed_loop,5,81,0.04179182506111201,0.059096974555528495,0.96788199506803,0.908785306679469,0.05909668838856097,0.05909668838856097,0.2891083708961469,1
